序号,变量名,数据类型,隐藏初始值,初始值,掉电保持,网络公开,注释,软元件地址,node_id
,S07_精注粉旋转速度[4],INT,,0,,,,,ns=4;s=上位机通讯|S07_精注粉旋转速度[4]
120,S07_精注粉提请停止量,DINT[5],,...,不保持,公有,PC-PLC ,,ns=4;s=上位机通讯|S07_精注粉提请停止量
,S07_精注粉提请停止量[0],DINT,,0,,,,,ns=4;s=上位机通讯|S07_精注粉提请停止量[0]
,S07_精注粉提请停止量[1],DINT,,0,,,,,ns=4;s=上位机通讯|S07_精注粉提请停止量[1]
,S07_精注粉提请停止量[2],DINT,,0,,,,,ns=4;s=上位机通讯|S07_精注粉提请停止量[2]
,S07_精注粉提请停止量[3],DINT,,0,,,,,ns=4;s=上位机通讯|S07_精注粉提请停止量[3]
,S07_精注粉提请停止量[4],DINT,,0,,,,,ns=4;s=上位机通讯|S07_精注粉提请停止量[4]
121,S07_精注粉震荡最高速度,INT,,0,不保持,公有,PC-PLC ,,ns=4;s=上位机通讯|S07_精注粉震荡最高速度
122,S07位置1二维码,INT[30],,...,不保持,公有,PLC-PC,,ns=4;s=上位机通讯|S07位置1二维码
,S07位置1二维码[0],INT,,0,,,,,ns=4;s=上位机通讯|S07位置1二维码[0]
,S07位置1二维码[1],INT,,0,,,,,ns=4;s=上位机通讯|S07位置1二维码[1]
,S07位置1二维码[2],INT,,0,,,,,ns=4;s=上位机通讯|S07位置1二维码[2]
,S07位置1二维码[3],INT,,0,,,,,ns=4;s=上位机通讯|S07位置1二维码[3]
,S07位置1二维码[4],INT,,0,,,,,ns=4;s=上位机通讯|S07位置1二维码[4]
,S07位置1二维码[5],INT,,0,,,,,ns=4;s=上位机通讯|S07位置1二维码[5]
,S07位置1二维码[6],INT,,0,,,,,ns=4;s=上位机通讯|S07位置1二维码[6]
,S07位置1二维码[7],INT,,0,,,,,ns=4;s=上位机通讯|S07位置1二维码[7]
,S07位置1二维码[8],INT,,0,,,,,ns=4;s=上位机通讯|S07位置1二维码[8]
,S07位置1二维码[9],INT,,0,,,,,ns=4;s=上位机通讯|S07位置1二维码[9]
,S07位置1二维码[10],INT,,0,,,,,ns=4;s=上位机通讯|S07位置1二维码[10]
,S07位置1二维码[11],INT,,0,,,,,ns=4;s=上位机通讯|S07位置1二维码[11]
,S07位置1二维码[12],INT,,0,,,,,ns=4;s=上位机通讯|S07位置1二维码[12]
,S07位置1二维码[13],INT,,0,,,,,ns=4;s=上位机通讯|S07位置1二维码[13]
,S07位置1二维码[14],INT,,0,,,,,ns=4;s=上位机通讯|S07位置1二维码[14]
,S07位置1二维码[15],INT,,0,,,,,ns=4;s=上位机通讯|S07位置1二维码[15]
,S07位置1二维码[16],INT,,0,,,,,ns=4;s=上位机通讯|S07位置1二维码[16]
,S07位置1二维码[17],INT,,0,,,,,ns=4;s=上位机通讯|S07位置1二维码[17]
,S07位置1二维码[18],INT,,0,,,,,ns=4;s=上位机通讯|S07位置1二维码[18]
,S07位置1二维码[19],INT,,0,,,,,ns=4;s=上位机通讯|S07位置1二维码[19]
,S07位置1二维码[20],INT,,0,,,,,ns=4;s=上位机通讯|S07位置1二维码[20]
,S07位置1二维码[21],INT,,0,,,,,ns=4;s=上位机通讯|S07位置1二维码[21]
,S07位置1二维码[22],INT,,0,,,,,ns=4;s=上位机通讯|S07位置1二维码[22]
,S07位置1二维码[23],INT,,0,,,,,ns=4;s=上位机通讯|S07位置1二维码[23]
,S07位置1二维码[24],INT,,0,,,,,ns=4;s=上位机通讯|S07位置1二维码[24]
,S07位置1二维码[25],INT,,0,,,,,ns=4;s=上位机通讯|S07位置1二维码[25]
,S07位置1二维码[26],INT,,0,,,,,ns=4;s=上位机通讯|S07位置1二维码[26]
,S07位置1二维码[27],INT,,0,,,,,ns=4;s=上位机通讯|S07位置1二维码[27]
,S07位置1二维码[28],INT,,0,,,,,ns=4;s=上位机通讯|S07位置1二维码[28]
,S07位置1二维码[29],INT,,0,,,,,ns=4;s=上位机通讯|S07位置1二维码[29]
123,S07位置2二维码,INT[30],,...,不保持,公有,PLC-PC,,ns=4;s=上位机通讯|S07位置2二维码
,S07位置2二维码[0],INT,,0,,,,,ns=4;s=上位机通讯|S07位置2二维码[0]
,S07位置2二维码[1],INT,,0,,,,,ns=4;s=上位机通讯|S07位置2二维码[1]
,S07位置2二维码[2],INT,,0,,,,,ns=4;s=上位机通讯|S07位置2二维码[2]
,S07位置2二维码[3],INT,,0,,,,,ns=4;s=上位机通讯|S07位置2二维码[3]
,S07位置2二维码[4],INT,,0,,,,,ns=4;s=上位机通讯|S07位置2二维码[4]
,S07位置2二维码[5],INT,,0,,,,,ns=4;s=上位机通讯|S07位置2二维码[5]
,S07位置2二维码[6],INT,,0,,,,,ns=4;s=上位机通讯|S07位置2二维码[6]
,S07位置2二维码[7],INT,,0,,,,,ns=4;s=上位机通讯|S07位置2二维码[7]
,S07位置2二维码[8],INT,,0,,,,,ns=4;s=上位机通讯|S07位置2二维码[8]
,S07位置2二维码[9],INT,,0,,,,,ns=4;s=上位机通讯|S07位置2二维码[9]
,S07位置2二维码[10],INT,,0,,,,,ns=4;s=上位机通讯|S07位置2二维码[10]
,S07位置2二维码[11],INT,,0,,,,,ns=4;s=上位机通讯|S07位置2二维码[11]
,S07位置2二维码[12],INT,,0,,,,,ns=4;s=上位机通讯|S07位置2二维码[12]
,S07位置2二维码[13],INT,,0,,,,,ns=4;s=上位机通讯|S07位置2二维码[13]
,S07位置2二维码[14],INT,,0,,,,,ns=4;s=上位机通讯|S07位置2二维码[14]
,S07位置2二维码[15],INT,,0,,,,,ns=4;s=上位机通讯|S07位置2二维码[15]
,S07位置2二维码[16],INT,,0,,,,,ns=4;s=上位机通讯|S07位置2二维码[16]
,S07位置2二维码[17],INT,,0,,,,,ns=4;s=上位机通讯|S07位置2二维码[17]
,S07位置2二维码[18],INT,,0,,,,,ns=4;s=上位机通讯|S07位置2二维码[18]
,S07位置2二维码[19],INT,,0,,,,,ns=4;s=上位机通讯|S07位置2二维码[19]
,S07位置2二维码[20],INT,,0,,,,,ns=4;s=上位机通讯|S07位置2二维码[20]
,S07位置2二维码[21],INT,,0,,,,,ns=4;s=上位机通讯|S07位置2二维码[21]
,S07位置2二维码[22],INT,,0,,,,,ns=4;s=上位机通讯|S07位置2二维码[22]
,S07位置2二维码[23],INT,,0,,,,,ns=4;s=上位机通讯|S07位置2二维码[23]
,S07位置2二维码[24],INT,,0,,,,,ns=4;s=上位机通讯|S07位置2二维码[24]
,S07位置2二维码[25],INT,,0,,,,,ns=4;s=上位机通讯|S07位置2二维码[25]
,S07位置2二维码[26],INT,,0,,,,,ns=4;s=上位机通讯|S07位置2二维码[26]
,S07位置2二维码[27],INT,,0,,,,,ns=4;s=上位机通讯|S07位置2二维码[27]
,S07位置2二维码[28],INT,,0,,,,,ns=4;s=上位机通讯|S07位置2二维码[28]
,S07位置2二维码[29],INT,,0,,,,,ns=4;s=上位机通讯|S07位置2二维码[29]
124,S07位置3二维码,INT[30],,...,不保持,公有,PLC-PC,,ns=4;s=上位机通讯|S07位置3二维码
,S07位置3二维码[0],INT,,0,,,,,ns=4;s=上位机通讯|S07位置3二维码[0]
,S07位置3二维码[1],INT,,0,,,,,ns=4;s=上位机通讯|S07位置3二维码[1]
,S07位置3二维码[2],INT,,0,,,,,ns=4;s=上位机通讯|S07位置3二维码[2]
,S07位置3二维码[3],INT,,0,,,,,ns=4;s=上位机通讯|S07位置3二维码[3]
,S07位置3二维码[4],INT,,0,,,,,ns=4;s=上位机通讯|S07位置3二维码[4]
,S07位置3二维码[5],INT,,0,,,,,ns=4;s=上位机通讯|S07位置3二维码[5]
,S07位置3二维码[6],INT,,0,,,,,ns=4;s=上位机通讯|S07位置3二维码[6]
,S07位置3二维码[7],INT,,0,,,,,ns=4;s=上位机通讯|S07位置3二维码[7]
,S07位置3二维码[8],INT,,0,,,,,ns=4;s=上位机通讯|S07位置3二维码[8]
,S07位置3二维码[9],INT,,0,,,,,ns=4;s=上位机通讯|S07位置3二维码[9]
,S07位置3二维码[10],INT,,0,,,,,ns=4;s=上位机通讯|S07位置3二维码[10]
,S07位置3二维码[11],INT,,0,,,,,ns=4;s=上位机通讯|S07位置3二维码[11]
,S07位置3二维码[12],INT,,0,,,,,ns=4;s=上位机通讯|S07位置3二维码[12]
,S07位置3二维码[13],INT,,0,,,,,ns=4;s=上位机通讯|S07位置3二维码[13]
,S07位置3二维码[14],INT,,0,,,,,ns=4;s=上位机通讯|S07位置3二维码[14]
,S07位置3二维码[15],INT,,0,,,,,ns=4;s=上位机通讯|S07位置3二维码[15]
,S07位置3二维码[16],INT,,0,,,,,ns=4;s=上位机通讯|S07位置3二维码[16]
,S07位置3二维码[17],INT,,0,,,,,ns=4;s=上位机通讯|S07位置3二维码[17]
,S07位置3二维码[18],INT,,0,,,,,ns=4;s=上位机通讯|S07位置3二维码[18]
,S07位置3二维码[19],INT,,0,,,,,ns=4;s=上位机通讯|S07位置3二维码[19]
,S07位置3二维码[20],INT,,0,,,,,ns=4;s=上位机通讯|S07位置3二维码[20]
,S07位置3二维码[21],INT,,0,,,,,ns=4;s=上位机通讯|S07位置3二维码[21]
,S07位置3二维码[22],INT,,0,,,,,ns=4;s=上位机通讯|S07位置3二维码[22]
,S07位置3二维码[23],INT,,0,,,,,ns=4;s=上位机通讯|S07位置3二维码[23]
,S07位置3二维码[24],INT,,0,,,,,ns=4;s=上位机通讯|S07位置3二维码[24]
,S07位置3二维码[25],INT,,0,,,,,ns=4;s=上位机通讯|S07位置3二维码[25]
,S07位置3二维码[26],INT,,0,,,,,ns=4;s=上位机通讯|S07位置3二维码[26]
,S07位置3二维码[27],INT,,0,,,,,ns=4;s=上位机通讯|S07位置3二维码[27]
,S07位置3二维码[28],INT,,0,,,,,ns=4;s=上位机通讯|S07位置3二维码[28]
,S07位置3二维码[29],INT,,0,,,,,ns=4;s=上位机通讯|S07位置3二维码[29]
125,S07位置4二维码,INT[30],,...,不保持,公有,PLC-PC,,ns=4;s=上位机通讯|S07位置4二维码
,S07位置4二维码[0],INT,,0,,,,,ns=4;s=上位机通讯|S07位置4二维码[0]
,S07位置4二维码[1],INT,,0,,,,,ns=4;s=上位机通讯|S07位置4二维码[1]
,S07位置4二维码[2],INT,,0,,,,,ns=4;s=上位机通讯|S07位置4二维码[2]
,S07位置4二维码[3],INT,,0,,,,,ns=4;s=上位机通讯|S07位置4二维码[3]
,S07位置4二维码[4],INT,,0,,,,,ns=4;s=上位机通讯|S07位置4二维码[4]
,S07位置4二维码[5],INT,,0,,,,,ns=4;s=上位机通讯|S07位置4二维码[5]
,S07位置4二维码[6],INT,,0,,,,,ns=4;s=上位机通讯|S07位置4二维码[6]
,S07位置4二维码[7],INT,,0,,,,,ns=4;s=上位机通讯|S07位置4二维码[7]
,S07位置4二维码[8],INT,,0,,,,,ns=4;s=上位机通讯|S07位置4二维码[8]
,S07位置4二维码[9],INT,,0,,,,,ns=4;s=上位机通讯|S07位置4二维码[9]
,S07位置4二维码[10],INT,,0,,,,,ns=4;s=上位机通讯|S07位置4二维码[10]
,S07位置4二维码[11],INT,,0,,,,,ns=4;s=上位机通讯|S07位置4二维码[11]
,S07位置4二维码[12],INT,,0,,,,,ns=4;s=上位机通讯|S07位置4二维码[12]
,S07位置4二维码[13],INT,,0,,,,,ns=4;s=上位机通讯|S07位置4二维码[13]
,S07位置4二维码[14],INT,,0,,,,,ns=4;s=上位机通讯|S07位置4二维码[14]
,S07位置4二维码[15],INT,,0,,,,,ns=4;s=上位机通讯|S07位置4二维码[15]
,S07位置4二维码[16],INT,,0,,,,,ns=4;s=上位机通讯|S07位置4二维码[16]
,S07位置4二维码[17],INT,,0,,,,,ns=4;s=上位机通讯|S07位置4二维码[17]
,S07位置4二维码[18],INT,,0,,,,,ns=4;s=上位机通讯|S07位置4二维码[18]
,S07位置4二维码[19],INT,,0,,,,,ns=4;s=上位机通讯|S07位置4二维码[19]
,S07位置4二维码[20],INT,,0,,,,,ns=4;s=上位机通讯|S07位置4二维码[20]
,S07位置4二维码[21],INT,,0,,,,,ns=4;s=上位机通讯|S07位置4二维码[21]
,S07位置4二维码[22],INT,,0,,,,,ns=4;s=上位机通讯|S07位置4二维码[22]
,S07位置4二维码[23],INT,,0,,,,,ns=4;s=上位机通讯|S07位置4二维码[23]
,S07位置4二维码[24],INT,,0,,,,,ns=4;s=上位机通讯|S07位置4二维码[24]
,S07位置4二维码[25],INT,,0,,,,,ns=4;s=上位机通讯|S07位置4二维码[25]
,S07位置4二维码[26],INT,,0,,,,,ns=4;s=上位机通讯|S07位置4二维码[26]
,S07位置4二维码[27],INT,,0,,,,,ns=4;s=上位机通讯|S07位置4二维码[27]
,S07位置4二维码[28],INT,,0,,,,,ns=4;s=上位机通讯|S07位置4二维码[28]
,S07位置4二维码[29],INT,,0,,,,,ns=4;s=上位机通讯|S07位置4二维码[29]
126,S07位置5二维码,INT[30],,...,不保持,公有,PLC-PC,,ns=4;s=上位机通讯|S07位置5二维码
,S07位置5二维码[0],INT,,0,,,,,ns=4;s=上位机通讯|S07位置5二维码[0]
,S07位置5二维码[1],INT,,0,,,,,ns=4;s=上位机通讯|S07位置5二维码[1]
,S07位置5二维码[2],INT,,0,,,,,ns=4;s=上位机通讯|S07位置5二维码[2]
,S07位置5二维码[3],INT,,0,,,,,ns=4;s=上位机通讯|S07位置5二维码[3]
,S07位置5二维码[4],INT,,0,,,,,ns=4;s=上位机通讯|S07位置5二维码[4]
,S07位置5二维码[5],INT,,0,,,,,ns=4;s=上位机通讯|S07位置5二维码[5]
,S07位置5二维码[6],INT,,0,,,,,ns=4;s=上位机通讯|S07位置5二维码[6]
,S07位置5二维码[7],INT,,0,,,,,ns=4;s=上位机通讯|S07位置5二维码[7]
,S07位置5二维码[8],INT,,0,,,,,ns=4;s=上位机通讯|S07位置5二维码[8]
,S07位置5二维码[9],INT,,0,,,,,ns=4;s=上位机通讯|S07位置5二维码[9]
,S07位置5二维码[10],INT,,0,,,,,ns=4;s=上位机通讯|S07位置5二维码[10]
,S07位置5二维码[11],INT,,0,,,,,ns=4;s=上位机通讯|S07位置5二维码[11]
,S07位置5二维码[12],INT,,0,,,,,ns=4;s=上位机通讯|S07位置5二维码[12]
,S07位置5二维码[13],INT,,0,,,,,ns=4;s=上位机通讯|S07位置5二维码[13]
,S07位置5二维码[14],INT,,0,,,,,ns=4;s=上位机通讯|S07位置5二维码[14]
,S07位置5二维码[15],INT,,0,,,,,ns=4;s=上位机通讯|S07位置5二维码[15]
,S07位置5二维码[16],INT,,0,,,,,ns=4;s=上位机通讯|S07位置5二维码[16]
,S07位置5二维码[17],INT,,0,,,,,ns=4;s=上位机通讯|S07位置5二维码[17]
,S07位置5二维码[18],INT,,0,,,,,ns=4;s=上位机通讯|S07位置5二维码[18]
,S07位置5二维码[19],INT,,0,,,,,ns=4;s=上位机通讯|S07位置5二维码[19]
,S07位置5二维码[20],INT,,0,,,,,ns=4;s=上位机通讯|S07位置5二维码[20]
,S07位置5二维码[21],INT,,0,,,,,ns=4;s=上位机通讯|S07位置5二维码[21]
,S07位置5二维码[22],INT,,0,,,,,ns=4;s=上位机通讯|S07位置5二维码[22]
,S07位置5二维码[23],INT,,0,,,,,ns=4;s=上位机通讯|S07位置5二维码[23]
,S07位置5二维码[24],INT,,0,,,,,ns=4;s=上位机通讯|S07位置5二维码[24]
,S07位置5二维码[25],INT,,0,,,,,ns=4;s=上位机通讯|S07位置5二维码[25]
,S07位置5二维码[26],INT,,0,,,,,ns=4;s=上位机通讯|S07位置5二维码[26]
,S07位置5二维码[27],INT,,0,,,,,ns=4;s=上位机通讯|S07位置5二维码[27]
,S07位置5二维码[28],INT,,0,,,,,ns=4;s=上位机通讯|S07位置5二维码[28]
,S07位置5二维码[29],INT,,0,,,,,ns=4;s=上位机通讯|S07位置5二维码[29]
127,S07位置6二维码,INT[30],,...,不保持,公有,PLC-PC,,ns=4;s=上位机通讯|S07位置6二维码
,S07位置6二维码[0],INT,,0,,,,,ns=4;s=上位机通讯|S07位置6二维码[0]
,S07位置6二维码[1],INT,,0,,,,,ns=4;s=上位机通讯|S07位置6二维码[1]
,S07位置6二维码[2],INT,,0,,,,,ns=4;s=上位机通讯|S07位置6二维码[2]
,S07位置6二维码[3],INT,,0,,,,,ns=4;s=上位机通讯|S07位置6二维码[3]
,S07位置6二维码[4],INT,,0,,,,,ns=4;s=上位机通讯|S07位置6二维码[4]
,S07位置6二维码[5],INT,,0,,,,,ns=4;s=上位机通讯|S07位置6二维码[5]
,S07位置6二维码[6],INT,,0,,,,,ns=4;s=上位机通讯|S07位置6二维码[6]
,S07位置6二维码[7],INT,,0,,,,,ns=4;s=上位机通讯|S07位置6二维码[7]
,S07位置6二维码[8],INT,,0,,,,,ns=4;s=上位机通讯|S07位置6二维码[8]
,S07位置6二维码[9],INT,,0,,,,,ns=4;s=上位机通讯|S07位置6二维码[9]
,S07位置6二维码[10],INT,,0,,,,,ns=4;s=上位机通讯|S07位置6二维码[10]
,S07位置6二维码[11],INT,,0,,,,,ns=4;s=上位机通讯|S07位置6二维码[11]
,S07位置6二维码[12],INT,,0,,,,,ns=4;s=上位机通讯|S07位置6二维码[12]
,S07位置6二维码[13],INT,,0,,,,,ns=4;s=上位机通讯|S07位置6二维码[13]
,S07位置6二维码[14],INT,,0,,,,,ns=4;s=上位机通讯|S07位置6二维码[14]
,S07位置6二维码[15],INT,,0,,,,,ns=4;s=上位机通讯|S07位置6二维码[15]
,S07位置6二维码[16],INT,,0,,,,,ns=4;s=上位机通讯|S07位置6二维码[16]
,S07位置6二维码[17],INT,,0,,,,,ns=4;s=上位机通讯|S07位置6二维码[17]
,S07位置6二维码[18],INT,,0,,,,,ns=4;s=上位机通讯|S07位置6二维码[18]
,S07位置6二维码[19],INT,,0,,,,,ns=4;s=上位机通讯|S07位置6二维码[19]
,S07位置6二维码[20],INT,,0,,,,,ns=4;s=上位机通讯|S07位置6二维码[20]
,S07位置6二维码[21],INT,,0,,,,,ns=4;s=上位机通讯|S07位置6二维码[21]
,S07位置6二维码[22],INT,,0,,,,,ns=4;s=上位机通讯|S07位置6二维码[22]
,S07位置6二维码[23],INT,,0,,,,,ns=4;s=上位机通讯|S07位置6二维码[23]
,S07位置6二维码[24],INT,,0,,,,,ns=4;s=上位机通讯|S07位置6二维码[24]
,S07位置6二维码[25],INT,,0,,,,,ns=4;s=上位机通讯|S07位置6二维码[25]
,S07位置6二维码[26],INT,,0,,,,,ns=4;s=上位机通讯|S07位置6二维码[26]
,S07位置6二维码[27],INT,,0,,,,,ns=4;s=上位机通讯|S07位置6二维码[27]
,S07位置6二维码[28],INT,,0,,,,,ns=4;s=上位机通讯|S07位置6二维码[28]
,S07位置6二维码[29],INT,,0,,,,,ns=4;s=上位机通讯|S07位置6二维码[29]
128,S07位置7二维码,INT[30],,...,不保持,公有,PLC-PC,,ns=4;s=上位机通讯|S07位置7二维码
,S07位置7二维码[0],INT,,0,,,,,ns=4;s=上位机通讯|S07位置7二维码[0]
,S07位置7二维码[1],INT,,0,,,,,ns=4;s=上位机通讯|S07位置7二维码[1]
,S07位置7二维码[2],INT,,0,,,,,ns=4;s=上位机通讯|S07位置7二维码[2]
,S07位置7二维码[3],INT,,0,,,,,ns=4;s=上位机通讯|S07位置7二维码[3]
,S07位置7二维码[4],INT,,0,,,,,ns=4;s=上位机通讯|S07位置7二维码[4]
,S07位置7二维码[5],INT,,0,,,,,ns=4;s=上位机通讯|S07位置7二维码[5]
,S07位置7二维码[6],INT,,0,,,,,ns=4;s=上位机通讯|S07位置7二维码[6]
,S07位置7二维码[7],INT,,0,,,,,ns=4;s=上位机通讯|S07位置7二维码[7]
,S07位置7二维码[8],INT,,0,,,,,ns=4;s=上位机通讯|S07位置7二维码[8]
,S07位置7二维码[9],INT,,0,,,,,ns=4;s=上位机通讯|S07位置7二维码[9]
,S07位置7二维码[10],INT,,0,,,,,ns=4;s=上位机通讯|S07位置7二维码[10]
,S07位置7二维码[11],INT,,0,,,,,ns=4;s=上位机通讯|S07位置7二维码[11]
,S07位置7二维码[12],INT,,0,,,,,ns=4;s=上位机通讯|S07位置7二维码[12]
,S07位置7二维码[13],INT,,0,,,,,ns=4;s=上位机通讯|S07位置7二维码[13]
,S07位置7二维码[14],INT,,0,,,,,ns=4;s=上位机通讯|S07位置7二维码[14]
,S07位置7二维码[15],INT,,0,,,,,ns=4;s=上位机通讯|S07位置7二维码[15]
,S07位置7二维码[16],INT,,0,,,,,ns=4;s=上位机通讯|S07位置7二维码[16]
,S07位置7二维码[17],INT,,0,,,,,ns=4;s=上位机通讯|S07位置7二维码[17]
,S07位置7二维码[18],INT,,0,,,,,ns=4;s=上位机通讯|S07位置7二维码[18]
,S07位置7二维码[19],INT,,0,,,,,ns=4;s=上位机通讯|S07位置7二维码[19]
,S07位置7二维码[20],INT,,0,,,,,ns=4;s=上位机通讯|S07位置7二维码[20]
,S07位置7二维码[21],INT,,0,,,,,ns=4;s=上位机通讯|S07位置7二维码[21]
,S07位置7二维码[22],INT,,0,,,,,ns=4;s=上位机通讯|S07位置7二维码[22]
,S07位置7二维码[23],INT,,0,,,,,ns=4;s=上位机通讯|S07位置7二维码[23]
,S07位置7二维码[24],INT,,0,,,,,ns=4;s=上位机通讯|S07位置7二维码[24]
,S07位置7二维码[25],INT,,0,,,,,ns=4;s=上位机通讯|S07位置7二维码[25]
,S07位置7二维码[26],INT,,0,,,,,ns=4;s=上位机通讯|S07位置7二维码[26]
,S07位置7二维码[27],INT,,0,,,,,ns=4;s=上位机通讯|S07位置7二维码[27]
,S07位置7二维码[28],INT,,0,,,,,ns=4;s=上位机通讯|S07位置7二维码[28]
,S07位置7二维码[29],INT,,0,,,,,ns=4;s=上位机通讯|S07位置7二维码[29]
129,S07位置8二维码,INT[30],,...,不保持,公有,PLC-PC,,ns=4;s=上位机通讯|S07位置8二维码
,S07位置8二维码[0],INT,,0,,,,,ns=4;s=上位机通讯|S07位置8二维码[0]
,S07位置8二维码[1],INT,,0,,,,,ns=4;s=上位机通讯|S07位置8二维码[1]
,S07位置8二维码[2],INT,,0,,,,,ns=4;s=上位机通讯|S07位置8二维码[2]
,S07位置8二维码[3],INT,,0,,,,,ns=4;s=上位机通讯|S07位置8二维码[3]
,S07位置8二维码[4],INT,,0,,,,,ns=4;s=上位机通讯|S07位置8二维码[4]
,S07位置8二维码[5],INT,,0,,,,,ns=4;s=上位机通讯|S07位置8二维码[5]
,S07位置8二维码[6],INT,,0,,,,,ns=4;s=上位机通讯|S07位置8二维码[6]
,S07位置8二维码[7],INT,,0,,,,,ns=4;s=上位机通讯|S07位置8二维码[7]
,S07位置8二维码[8],INT,,0,,,,,ns=4;s=上位机通讯|S07位置8二维码[8]
,S07位置8二维码[9],INT,,0,,,,,ns=4;s=上位机通讯|S07位置8二维码[9]
,S07位置8二维码[10],INT,,0,,,,,ns=4;s=上位机通讯|S07位置8二维码[10]
,S07位置8二维码[11],INT,,0,,,,,ns=4;s=上位机通讯|S07位置8二维码[11]
,S07位置8二维码[12],INT,,0,,,,,ns=4;s=上位机通讯|S07位置8二维码[12]
,S07位置8二维码[13],INT,,0,,,,,ns=4;s=上位机通讯|S07位置8二维码[13]
,S07位置8二维码[14],INT,,0,,,,,ns=4;s=上位机通讯|S07位置8二维码[14]
,S07位置8二维码[15],INT,,0,,,,,ns=4;s=上位机通讯|S07位置8二维码[15]
,S07位置8二维码[16],INT,,0,,,,,ns=4;s=上位机通讯|S07位置8二维码[16]
,S07位置8二维码[17],INT,,0,,,,,ns=4;s=上位机通讯|S07位置8二维码[17]
,S07位置8二维码[18],INT,,0,,,,,ns=4;s=上位机通讯|S07位置8二维码[18]
,S07位置8二维码[19],INT,,0,,,,,ns=4;s=上位机通讯|S07位置8二维码[19]
,S07位置8二维码[20],INT,,0,,,,,ns=4;s=上位机通讯|S07位置8二维码[20]
,S07位置8二维码[21],INT,,0,,,,,ns=4;s=上位机通讯|S07位置8二维码[21]
,S07位置8二维码[22],INT,,0,,,,,ns=4;s=上位机通讯|S07位置8二维码[22]
,S07位置8二维码[23],INT,,0,,,,,ns=4;s=上位机通讯|S07位置8二维码[23]
,S07位置8二维码[24],INT,,0,,,,,ns=4;s=上位机通讯|S07位置8二维码[24]
,S07位置8二维码[25],INT,,0,,,,,ns=4;s=上位机通讯|S07位置8二维码[25]
,S07位置8二维码[26],INT,,0,,,,,ns=4;s=上位机通讯|S07位置8二维码[26]
,S07位置8二维码[27],INT,,0,,,,,ns=4;s=上位机通讯|S07位置8二维码[27]
,S07位置8二维码[28],INT,,0,,,,,ns=4;s=上位机通讯|S07位置8二维码[28]
,S07位置8二维码[29],INT,,0,,,,,ns=4;s=上位机通讯|S07位置8二维码[29]
130,S07位置9二维码,INT[30],,...,不保持,公有,PLC-PC,,ns=4;s=上位机通讯|S07位置9二维码
,S07位置9二维码[0],INT,,0,,,,,ns=4;s=上位机通讯|S07位置9二维码[0]
,S07位置9二维码[1],INT,,0,,,,,ns=4;s=上位机通讯|S07位置9二维码[1]
,S07位置9二维码[2],INT,,0,,,,,ns=4;s=上位机通讯|S07位置9二维码[2]
,S07位置9二维码[3],INT,,0,,,,,ns=4;s=上位机通讯|S07位置9二维码[3]
,S07位置9二维码[4],INT,,0,,,,,ns=4;s=上位机通讯|S07位置9二维码[4]
,S07位置9二维码[5],INT,,0,,,,,ns=4;s=上位机通讯|S07位置9二维码[5]
,S07位置9二维码[6],INT,,0,,,,,ns=4;s=上位机通讯|S07位置9二维码[6]
,S07位置9二维码[7],INT,,0,,,,,ns=4;s=上位机通讯|S07位置9二维码[7]
,S07位置9二维码[8],INT,,0,,,,,ns=4;s=上位机通讯|S07位置9二维码[8]
,S07位置9二维码[9],INT,,0,,,,,ns=4;s=上位机通讯|S07位置9二维码[9]
,S07位置9二维码[10],INT,,0,,,,,ns=4;s=上位机通讯|S07位置9二维码[10]
,S07位置9二维码[11],INT,,0,,,,,ns=4;s=上位机通讯|S07位置9二维码[11]
,S07位置9二维码[12],INT,,0,,,,,ns=4;s=上位机通讯|S07位置9二维码[12]
,S07位置9二维码[13],INT,,0,,,,,ns=4;s=上位机通讯|S07位置9二维码[13]
,S07位置9二维码[14],INT,,0,,,,,ns=4;s=上位机通讯|S07位置9二维码[14]
,S07位置9二维码[15],INT,,0,,,,,ns=4;s=上位机通讯|S07位置9二维码[15]
,S07位置9二维码[16],INT,,0,,,,,ns=4;s=上位机通讯|S07位置9二维码[16]
,S07位置9二维码[17],INT,,0,,,,,ns=4;s=上位机通讯|S07位置9二维码[17]
,S07位置9二维码[18],INT,,0,,,,,ns=4;s=上位机通讯|S07位置9二维码[18]
,S07位置9二维码[19],INT,,0,,,,,ns=4;s=上位机通讯|S07位置9二维码[19]
,S07位置9二维码[20],INT,,0,,,,,ns=4;s=上位机通讯|S07位置9二维码[20]
,S07位置9二维码[21],INT,,0,,,,,ns=4;s=上位机通讯|S07位置9二维码[21]
,S07位置9二维码[22],INT,,0,,,,,ns=4;s=上位机通讯|S07位置9二维码[22]
,S07位置9二维码[23],INT,,0,,,,,ns=4;s=上位机通讯|S07位置9二维码[23]
,S07位置9二维码[24],INT,,0,,,,,ns=4;s=上位机通讯|S07位置9二维码[24]
,S07位置9二维码[25],INT,,0,,,,,ns=4;s=上位机通讯|S07位置9二维码[25]
,S07位置9二维码[26],INT,,0,,,,,ns=4;s=上位机通讯|S07位置9二维码[26]
,S07位置9二维码[27],INT,,0,,,,,ns=4;s=上位机通讯|S07位置9二维码[27]
,S07位置9二维码[28],INT,,0,,,,,ns=4;s=上位机通讯|S07位置9二维码[28]
,S07位置9二维码[29],INT,,0,,,,,ns=4;s=上位机通讯|S07位置9二维码[29]
